moedas,valor
Bitcoin,4134.75
XRP,0.366946
Ethereum,116.26
Stellar,0.160278
Bitcoin Cash,172.89
EOS,2.93
Litecoin,33.87
Tether,0.995229
Bitcoin SV,100.19
Cardano,0.041230
Monero,59.72
TRON,0.014880
IOTA,0.296429
Dash,92.13
NEM,0.077895
Binance Coin,5.30
Ethereum Classic,5.12
NEO,8.03
Zcash,78.15
Bitcoin Gold,18.15
Tezos,0.490079
Maker,393.44
VeChain,0.004892
Dogecoin,0.002235
Ontology,0.835822
OmiseGO,1.62
0x,0.407484
Basic Attenti...,0.174269
TrueUSD,1.01
Qtum,2.12
Decred,20.42
USD Coin,1.01
Paxos Standar...,1.01
Lisk,1.46
Bytecoin,0.000843
Bitcoin Diamond,1.01
Waves,1.51
DigiByte,0.013232
Zilliqa,0.017804
Nano,1.04
BitShares,0.049618
ICON,0.274950
Aeternity,0.553580
Verge,0.007820
Aurora,0.017809
Siacoin,0.003042
Chainlink,0.324336
Steem,0.346925
Pundi X,0.000667
Bytom,0.100503
Factom,11.42
Populous,1.76
Augur,8.38
Golem,0.088411
Komodo,0.739814
Stratis,0.819090
QASH,0.216317
Electroneum,0.008538
MaidSafeCoin,0.158204
Holo,0.000533
Status,0.019962
Decentraland,0.063613
Cryptonex,1.19
Revain,0.150056
Ardor,0.062835
WAX,0.066990
Huobi Token,1.24
Dai,0.995194
IOST,0.005099
FREE Coin,0.000016
Nexo,0.106279
DEX,0.308261
KuCoin Shares,0.610724
MobileGo,0.534915
Metaverse ETP,0.991413
Waltonchain,1.23
ODEM,0.226934
Insight Chain,0.289284
Bitcoin Private,2.36
MOAC,0.776247
Mithril,0.117454
Theta Token,0.067268
Centrality,0.059249
Wanchain,0.432184
Ravencoin,0.019296
Gemini Dollar,1.02
ReddCoin,0.001525
Ark,0.410840
GXChain,0.730429
Elastos,3.11
MonaCoin,0.673674
PIVX,0.753661
Aion,0.159565
Zcoin,7.17
Bancor,0.693187
HyperCash,0.920854
Polymath,0.139115
SIRIN LABS Token,0.080367
Crypto.com,2.49
aelf,0.136642
